"mutator","instance","repl","HV","EPS","IGD","class","no","jobid"
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph",1,0.0218708810652973,0.0288362512873326,0.0155035356141448,"CLASS1",1,41
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph",1,0.141627781804004,0.116374871266735,0.0859749439191753,"CLASS1",1,31
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph",1,0.115356306835119,0.0762100926879505,0.0759115675386675,"CLASS1",1,21
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph",1,0.00645043716333393,0.0144181256436664,0.00569830465609792,"CLASS1",1,1
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph",1,0.00669483611849331,0.015447991761071,0.00525432287639533,"CLASS1",1,11
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_10.graph",1,0.0322971228500315,0.0520833333333333,0.0185795466258337,"CLASS1",10,691
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_10.graph",1,0.159392529440172,0.15162037037037,0.0859489225818912,"CLASS1",10,681
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_10.graph",1,0.0816779040826183,0.0891203703703705,0.0477906396382094,"CLASS1",10,671
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_10.graph",1,0.00570113117129178,0.0138888888888888,0.00591109774312618,"CLASS1",10,651
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_10.graph",1,0.00658921208068652,0.0138888888888888,0.00716133150111771,"CLASS1",10,661
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_2.graph",1,0.0243342684564487,0.0350467289719627,0.0194414049409202,"CLASS1",2,591
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_2.graph",1,0.160710013972479,0.150700934579439,0.101452636942946,"CLASS1",2,581
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_2.graph",1,0.0702164646909469,0.0712616822429906,0.0470246482559252,"CLASS1",2,571
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_2.graph",1,0.00434873024416504,0.00756253635834803,0.00551295063858265,"CLASS1",2,551
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_2.graph",1,0.00668585843758285,0.0175233644859814,0.00959042380229875,"CLASS1",2,561
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph",1,0.0314841624732928,0.0505154639175258,0.0198389049764069,"CLASS1",3,241
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph",1,0.159166851525376,0.145360824742268,0.100727672717233,"CLASS1",3,231
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph",1,0.0966585328834454,0.0762886597938144,0.0676913868853388,"CLASS1",3,221
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph",1,0.00494681906807848,0.00792751981879936,0.00680541684811946,"CLASS1",3,201
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_3.graph",1,0.00659887216728339,0.0144329896907216,0.00961057380050922,"CLASS1",3,211
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_4.graph",1,0.0242035271624096,0.0390879478827362,0.0157838488989473,"CLASS1",4,941
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_4.graph",1,0.186240011520977,0.163952225841477,0.105528386217762,"CLASS1",4,931
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_4.graph",1,0.0808268575207538,0.0868621064060804,0.0465124865503268,"CLASS1",4,921
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_4.graph",1,0.00495957867583285,0.01085776330076,0.00489341235470385,"CLASS1",4,901
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_4.graph",1,0.00560131733281788,0.0104712041884816,0.00784208753760913,"CLASS1",4,911
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_5.graph",1,0.0238076816800219,0.0318181818181817,0.0167949497274885,"CLASS1",5,441
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_5.graph",1,0.171193009118541,0.130681818181818,0.110757654221369,"CLASS1",5,431
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_5.graph",1,0.0907833655705994,0.0761363636363637,0.0664207223374775,"CLASS1",5,421
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_5.graph",1,0.00383531362254719,0.00681818181818183,0.00444725877110721,"CLASS1",5,401
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_5.graph",1,0.00806714562033695,0.021590909090909,0.00849819859299125,"CLASS1",5,411
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_6.graph",1,0.0276523621004044,0.0354879594423321,0.0378487725551201,"CLASS1",6,991
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_6.graph",1,0.177058002738478,0.174904942965779,0.093336055894337,"CLASS1",6,981
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_6.graph",1,0.111241856682839,0.115335868187579,0.0608661795371143,"CLASS1",6,971
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_6.graph",1,0.005833297438126,0.0114068441064639,0.00738212056851985,"CLASS1",6,951
"USGS-PRE","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_6.graph",1,0.0111483986169247,0.0304182509505704,0.0073790845730788,"CLASS1",6,961
"IF-G","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.0352857385067514,0.0469543147208122,0.0234077710049625,"CLASS1",7,291
"IF-L","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.169877360817115,0.153553299492386,0.0896678742647563,"CLASS1",7,281
"SGS","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.0853336484514687,0.0761421319796955,0.0551571357226842,"CLASS1",7,271
"USGS-F","CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_7.graph",1,0.00510504223268049,0.0139593908629441,0.00499575369020372,"CLASS1",7,251
