jobid,instance,mutator,L,repl,seed
1,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,1,140892
2,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,2,905036
3,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,3,249524
4,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,4,247515
5,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,5,653160
6,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,6,831878
7,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,7,339564
8,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,8,237719
9,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,9,485499
10,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-F,100,10,599160
11,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,1,140892
12,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,2,905036
13,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,3,249524
14,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,4,247515
15,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,5,653160
16,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,6,831878
17,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,7,339564
18,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,8,237719
19,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,9,485499
20,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,USGS-PRE,100,10,599160
21,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,1,140892
22,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,2,905036
23,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,3,249524
24,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,4,247515
25,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,5,653160
26,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,6,831878
27,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,7,339564
28,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,8,237719
29,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,9,485499
30,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,SGS,100,10,599160
31,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,1,140892
32,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,2,905036
33,instances/50/CLASS1_50_1225_0_2_UNG_CEG_RWG-RWG_1.graph,IF-L,100,3,249524
