n sigma.fun sigma repl SGSECJ SGSI SGS
100 "log" 5 1 0.0001648749998821586 9.995799973694375e-05 0.00012816699972972856
100 "log" 5 2 0.00012720899985652068 9.045900014825747e-05 0.00011895900024683215
100 "log" 5 3 0.00012125000012019882 8.829199987303582e-05 0.00011670799995044945
100 "log" 5 4 0.00011729200014087837 8.629200010545901e-05 0.00011395899991839542
100 "log" 5 5 0.00011495799981275923 8.637500013719546e-05 0.0001165420003417239
100 "log" 5 6 0.00011604200017245603 8.333300002050237e-05 0.00011183300011907704
100 "log" 5 7 0.00011825000001408625 8.687500030646333e-05 0.00011841600007755915
100 "log" 5 8 0.00013379099982557818 8.720799996808637e-05 0.00011804199994003284
100 "log" 5 9 0.00011649999987639603 9.387499994772952e-05 0.00011658299990813248
100 "log" 5 10 0.00011395900037314277 8.416699984081788e-05 0.00011137499996038969
100 "log" 5 11 0.00011841700006698375 8.454199996776879e-05 0.00011154100002386258
100 "log" 5 12 0.0001285829998778354 8.299999990413198e-05 0.0001112079999074922
100 "log" 5 13 0.00011954100000366452 8.633300012661493e-05 0.00011325000014039688
100 "log" 5 14 0.00011645800032056286 8.629199965071166e-05 0.00011404200040487922
100 "log" 5 15 0.00012187499987703632 8.687499985171598e-05 0.00012170900026831077
100 "log" 5 16 0.00011633399981292314 8.562499988329364e-05 0.00012208299995108973
100 "log" 5 17 0.00013091699975120719 9.470800023336778e-05 0.00011687500000334694
100 "log" 5 18 0.00011729199968613102 8.666700023240992e-05 0.00011441700007708278
100 "log" 5 19 0.00012241700005688472 8.308399992529303e-05 0.0001117500000873406
100 "log" 5 20 0.00011499999982333975 8.399999978792039e-05 0.00011512500032040407
100 "log" 5 21 0.00012633400001504924 9.479099981035688e-05 0.00011766699981308193
100 "log" 5 22 0.00011608300019361195 8.633400011603953e-05 0.00011408299997128779
100 "log" 5 23 0.00011583299965423066 8.254200020019198e-05 0.00010995799993906985
100 "log" 5 24 0.0001258749998669373 9.062500021173037e-05 0.00011266599994996795
100 "log" 5 25 0.00012362500001472654 8.750000006330083e-05 0.00011179100010849652
100 "log" 5 26 0.0001233749999300926 8.566699989387416e-05 0.00012079199996151146
100 "log" 5 27 0.00011549999999260763 8.86249999894062e-05 0.00011541599997144658
100 "log" 5 28 0.0001142920000347658 8.470900002066628e-05 0.00011674999996102997
100 "log" 5 29 0.0001260000003640016 9.162500009551877e-05 0.0001177919998553989
100 "log" 5 30 0.0001144580000982387 8.399999978792039e-05 0.00011129199992865324
100 "sqrt" 10 1 0.000187665999874298 0.00014270800011217943 0.00015200000007098424
100 "sqrt" 10 2 0.00018654100040293997 0.00015016599991213297 0.00015762500015625847
100 "sqrt" 10 3 0.0001809159998629184 0.00014929200006008614 0.0001532910000605625
100 "sqrt" 10 4 0.00019799999972747173 0.00015233300018735463 0.0001606669998182042
100 "sqrt" 10 5 0.00017954099985217908 0.00014529200007018517 0.0001537499997539271
100 "sqrt" 10 6 0.00018341700024393504 0.00016091599991341354 0.00015991600002962514
100 "sqrt" 10 7 0.0001864999999270367 0.00015858400001889095 0.00015604200007146574
100 "sqrt" 10 8 0.00018716600015977747 0.00016079099987109657 0.0001698340001894394
100 "sqrt" 10 9 0.00018062500021187589 0.00014612499990107608 0.00015574999997625127
100 "sqrt" 10 10 0.00018458399972587358 0.00015391700026157196 0.00015725000002930756
100 "sqrt" 10 11 0.0001802089996090217 0.00015162499994403333 0.00015225000015561818
100 "sqrt" 10 12 0.00018745799980024458 0.0001446249998480198 0.0001602080001248396
100 "sqrt" 10 13 0.00018929199995909585 0.000150374999975611 0.0001673340002525947
100 "sqrt" 10 14 0.00018275000002176967 0.00015612499964845483 0.00016333299981852178
100 "sqrt" 10 15 0.00018987499970535282 0.00014945800012355903 0.00016720900021027774
100 "sqrt" 10 16 0.00018116599994755234 0.0001609999999345746 0.0001623749999453139
100 "sqrt" 10 17 0.0001848750002864108 0.000150374999975611 0.00015770799973324756
100 "sqrt" 10 18 0.00018637499988471973 0.0001473339998483425 0.00015574999997625127
100 "sqrt" 10 19 0.00019070799999099108 0.0001512089997959265 0.00016491700034748646
100 "sqrt" 10 20 0.00018816700003299047 0.00015683299989177613 0.00016287500011458178
100 "sqrt" 10 21 0.00020937499994033715 0.0001569589999235177 0.00016595799979768344
100 "sqrt" 10 22 0.00018287500006408663 0.00015100000018719584 0.00015800000028320937
100 "sqrt" 10 23 0.00018662500042410102 0.0001524580002296716 0.00015566699994451483
100 "sqrt" 10 24 0.00019358400004421128 0.00014795800007050275 0.00016025000013542012
100 "sqrt" 10 25 0.0001837919999161386 0.0001549159997011884 0.0001580420002937899
100 "sqrt" 10 26 0.00018354199983150465 0.00015029099995444994 0.0001588750001246808
100 "sqrt" 10 27 0.00018683300004340708 0.00015391700026157196 0.00016304099972330732
100 "sqrt" 10 28 0.00018479200025467435 0.00015145799989113584 0.00018475000024409383
100 "sqrt" 10 29 0.00019008299977940624 0.00015933299982862081 0.00015729100005046348
100 "sqrt" 10 30 0.00019474999999147258 0.00016062499980762368 0.000165417000062007
100 "logsquared" 45 1 0.0015930830004435848 0.0014100830003371811 0.0009789589998945303
100 "logsquared" 45 2 0.0015199159997791867 0.0014315000003080058 0.0009692089997770381
100 "logsquared" 45 3 0.001479167000070447 0.001404415999786579 0.0009735419998833095
100 "logsquared" 45 4 0.0014482920000773447 0.0013917920000494632 0.0009489169997323188
100 "logsquared" 45 5 0.0014748329999747511 0.0014303329999165726 0.0010017920003519976
100 "logsquared" 45 6 0.0015133329998207046 0.0014446670002143946 0.0009750409999469412
100 "logsquared" 45 7 0.0014529159998346586 0.0014230830001906725 0.0010001250002460438
100 "logsquared" 45 8 0.0014814169999226579 0.0014026669996383134 0.0009666250002737797
100 "logsquared" 45 9 0.001453792000120302 0.0013977499997963605 0.0009690000001683075
100 "logsquared" 45 10 0.0015263750001395238 0.0014599589999306772 0.0009647500000937725
100 "logsquared" 45 11 0.0014332920000015292 0.0014096670001890743 0.00098820799985333
100 "logsquared" 45 12 0.001517249999778869 0.0014222499999050342 0.0009567500001139706
100 "logsquared" 45 13 0.0014715829997840046 0.001438249999864638 0.0010072090003632184
100 "logsquared" 45 14 0.00146041600009994 0.0013887089999116142 0.0009474590001445904
100 "logsquared" 45 15 0.0014539590001731995 0.0014023329999872658 0.0010012080001615686
100 "logsquared" 45 16 0.0014933339998606243 0.0013701249999940046 0.0009418340000593162
100 "logsquared" 45 17 0.0014860000001135631 0.0014613749999625725 0.0009906250002131856
100 "logsquared" 45 18 0.001460375000078784 0.0013900000003559398 0.0009570409997650131
100 "logsquared" 45 19 0.0015093750002961315 0.0014339169997583667 0.0009897499999169668
100 "logsquared" 45 20 0.0014625419998992584 0.001397916999849258 0.0009987910002564604
100 "logsquared" 45 21 0.0015210000001388835 0.0014367499998115818 0.000976708000052895
100 "logsquared" 45 22 0.0014394580002772273 0.0014032079998287372 0.0009655829999246635
100 "logsquared" 45 23 0.0015451669996764394 0.0014267080000536225 0.001005834000352479
100 "logsquared" 45 24 0.0014502090002679324 0.0014115419999143342 0.001029207999636128
100 "logsquared" 45 25 0.0014903749997756677 0.0014181669998833968 0.000953665999986697
100 "logsquared" 45 26 0.0014672090001113247 0.001415375000306085 0.0009623750001992448
100 "logsquared" 45 27 0.0014882079999551934 0.0014329999999063148 0.000977708999926108
100 "logsquared" 45 28 0.0014483340000879252 0.0014456660001087585 0.0009673750000729342
100 "logsquared" 45 29 0.0014740829997208493 0.001407416000347439 0.0009697499999674619
100 "logsquared" 45 30 0.0014529169998240832 0.0013990829997965193 0.0009785840002223267
100 "half" 50 1 0.0017754999998942367 0.0016883329999473062 0.0011569590001272445
100 "half" 50 2 0.0017724169997563877 0.0017038749997482228 0.0011691250001604203
100 "half" 50 3 0.0017766250002750894 0.001674291000199446 0.0011441249998824787
100 "half" 50 4 0.001722917000279267 0.001677791000020079 0.0011347499998919375
100 "half" 50 5 0.0017514579999442503 0.0017729169999256555 0.001141791000009107
100 "half" 50 6 0.0017437920000702434 0.0016888749996724073 0.0011524159999680705
100 "half" 50 7 0.0017405409998900723 0.0017131669997070276 0.001209957999890321
100 "half" 50 8 0.001746999999795662 0.001687167000000045 0.0011535829999047564
100 "half" 50 9 0.0017592499998499989 0.0016778330000306596 0.0011437500002102752
100 "half" 50 10 0.001739415999963967 0.0016774170003373001 0.0011413329998504196
100 "half" 50 11 0.0017354579999846464 0.0016797910002424032 0.0011359590002939512
100 "half" 50 12 0.0017420839999431337 0.0016926250000324217 0.0011439579998295812
100 "half" 50 13 0.001731500000005326 0.0016777920000095037 0.0011476250001578592
100 "half" 50 14 0.0017305409996879462 0.0016752090000409225 0.0011471249999885913
100 "half" 50 15 0.0017413750001651351 0.0016779580000729766 0.0011468749999039574
100 "half" 50 16 0.001728082999761682 0.0016763749999881838 0.0011394580001251597
100 "half" 50 17 0.0017359160001433338 0.0016841249998833518 0.00114958399990428
100 "half" 50 18 0.0017367499999636493 0.0016722919999665464 0.0011426659998505784
