n p sigma.fun sigma repl USGS USGS-F USGS-PRE
100 1.0 "log" 5 1 0.003434291999838024 0.002382665999903111 0.0003548330000739952
100 1.0 "log" 5 2 0.003556332999778533 0.0015772920000927115 0.0003409579999242851
100 1.0 "log" 5 3 0.0033470420003141044 0.0025755410001693235 0.00033116600025095977
100 1.0 "log" 5 4 0.0033565419998922152 0.0007605000000694417 0.00032287500016536796
100 1.0 "log" 5 5 0.003364000000146916 0.0014845830000922433 0.0003395829999135458
100 1.0 "log" 5 6 0.003399916000034864 0.0009742500001266308 0.0003503330003695737
100 1.0 "log" 5 7 0.003335458000037761 0.0016192089997275616 0.0003160000001116714
100 1.0 "log" 5 8 0.0034482500000194705 0.0018979999999828578 0.0003372500000295986
100 1.0 "log" 5 9 0.0035001669998564466 0.0019115420000161976 0.0003418750002310844
100 1.0 "log" 5 10 0.003368416999819601 0.0017625830000724818 0.000330500000018219
100 1.0 "log" 5 11 0.0033420830000068236 0.001255000000128348 0.0003591249997043633
100 1.0 "log" 5 12 0.0033977079997384863 0.00225120799996148 0.00034487499988244963
100 1.0 "log" 5 13 0.0033608749999984866 0.0026022499996543047 0.00033424999992348603
100 1.0 "log" 5 14 0.0033472499999334104 0.0007547499999418505 0.000311582999984239
100 1.0 "log" 5 15 0.0034578750000946457 0.000991040999906545 0.00031904199977361714
100 1.0 "log" 5 16 0.0035721670001294115 0.0019265419996372657 0.0003344169999763835
100 1.0 "log" 5 17 0.003380791999916255 0.0028609589999177842 0.0003363749997333798
100 1.0 "log" 5 18 0.0033532500001456356 0.002294082999924285 0.0003282499997112609
100 1.0 "log" 5 19 0.003363291999903595 0.0005839590003233752 0.0003269580001870054
100 1.0 "log" 5 20 0.00337337499968271 0.0008184579996850516 0.0003552919997673598
100 1.0 "log" 5 21 0.003402667000045767 0.002271290999942721 0.0003338339997753792
100 1.0 "log" 5 22 0.0033952500002669694 0.0007074579998516128 0.0003555829998731497
100 1.0 "log" 5 23 0.00346004199991512 0.0012724580001304275 0.0003287499998805288
