n sigma.fun sigma repl LB UB value
100 "log" 5 1 475 4166.666666666667 848.0
100 "log" 5 2 475 4166.666666666667 1186.0
100 "log" 5 3 475 4166.666666666667 2109.0
100 "log" 5 4 475 4166.666666666667 2141.0
100 "log" 5 5 475 4166.666666666667 2555.0
100 "log" 5 6 475 4166.666666666667 3429.0
100 "log" 5 7 475 4166.666666666667 2904.0
100 "log" 5 8 475 4166.666666666667 2106.0
100 "log" 5 9 475 4166.666666666667 1106.0
100 "log" 5 10 475 4166.666666666667 3050.0
100 "log" 5 11 475 4166.666666666667 2413.0
100 "log" 5 12 475 4166.666666666667 2823.0
100 "log" 5 13 475 4166.666666666667 1589.0
100 "log" 5 14 475 4166.666666666667 3023.0
100 "log" 5 15 475 4166.666666666667 2868.0
100 "log" 5 16 475 4166.666666666667 1922.0
100 "log" 5 17 475 4166.666666666667 3430.0
100 "log" 5 18 475 4166.666666666667 848.0
100 "log" 5 19 475 4166.666666666667 1100.0
100 "log" 5 20 475 4166.666666666667 3008.0
100 "log" 5 21 475 4166.666666666667 2869.0
100 "log" 5 22 475 4166.666666666667 3382.0
100 "log" 5 23 475 4166.666666666667 3189.0
100 "log" 5 24 475 4166.666666666667 1806.0
100 "log" 5 25 475 4166.666666666667 2368.0
100 "log" 5 26 475 4166.666666666667 3442.0
100 "log" 5 27 475 4166.666666666667 934.0
100 "log" 5 28 475 4166.666666666667 2278.0
100 "log" 5 29 475 4166.666666666667 1424.0
100 "log" 5 30 475 4166.666666666667 1739.0
100 "sqrt" 10 1 900 4545.454545454545 1374.0
100 "sqrt" 10 2 900 4545.454545454545 1838.0
100 "sqrt" 10 3 900 4545.454545454545 3436.0
100 "sqrt" 10 4 900 4545.454545454545 3838.0
100 "sqrt" 10 5 900 4545.454545454545 2394.0
100 "sqrt" 10 6 900 4545.454545454545 3262.0
100 "sqrt" 10 7 900 4545.454545454545 3937.0
100 "sqrt" 10 8 900 4545.454545454545 3765.0
100 "sqrt" 10 9 900 4545.454545454545 3599.0
100 "sqrt" 10 10 900 4545.454545454545 2335.0
100 "sqrt" 10 11 900 4545.454545454545 4025.0
100 "sqrt" 10 12 900 4545.454545454545 3820.0
100 "sqrt" 10 13 900 4545.454545454545 3768.0
100 "sqrt" 10 14 900 4545.454545454545 3050.0
100 "sqrt" 10 15 900 4545.454545454545 3492.0
100 "sqrt" 10 16 900 4545.454545454545 3440.0
100 "sqrt" 10 17 900 4545.454545454545 3428.0
100 "sqrt" 10 18 900 4545.454545454545 3044.0
100 "sqrt" 10 19 900 4545.454545454545 3164.0
100 "sqrt" 10 20 900 4545.454545454545 2274.0
100 "sqrt" 10 21 900 4545.454545454545 1921.0
100 "sqrt" 10 22 900 4545.454545454545 3960.0
100 "sqrt" 10 23 900 4545.454545454545 4187.0
100 "sqrt" 10 24 900 4545.454545454545 3067.0
100 "sqrt" 10 25 900 4545.454545454545 4006.0
100 "sqrt" 10 26 900 4545.454545454545 3928.0
100 "sqrt" 10 27 900 4545.454545454545 3309.0
100 "sqrt" 10 28 900 4545.454545454545 3643.0
100 "sqrt" 10 29 900 4545.454545454545 2140.0
100 "sqrt" 10 30 900 4545.454545454545 2942.0
100 "logsquared" 45 1 2475 4891.304347826087 4816.0
100 "logsquared" 45 2 2475 4891.304347826087 4709.0
100 "logsquared" 45 3 2475 4891.304347826087 4775.0
100 "logsquared" 45 4 2475 4891.304347826087 4848.0
100 "logsquared" 45 5 2475 4891.304347826087 4761.0
100 "logsquared" 45 6 2475 4891.304347826087 4813.0
100 "logsquared" 45 7 2475 4891.304347826087 4824.0
100 "logsquared" 45 8 2475 4891.304347826087 4785.0
100 "logsquared" 45 9 2475 4891.304347826087 4742.0
100 "logsquared" 45 10 2475 4891.304347826087 4794.0
100 "logsquared" 45 11 2475 4891.304347826087 4683.0
