n sigmafrac sigma repl runtime
100 0.1 495 1 0.001130332995671779
100 0.1 495 2 0.0009137500019278377
100 0.1 495 3 0.0009167079988401383
100 0.1 495 4 0.0009495420090388507
100 0.1 495 5 0.000910000002477318
100 0.1 495 6 0.0010364589979872108
100 0.1 495 7 0.0010265419987263158
100 0.1 495 8 0.0009155829902738333
100 0.1 495 9 0.000884250010130927
100 0.1 495 10 0.0009193750011036173
100 0.1 495 11 0.0009144579962594435
100 0.1 495 12 0.0008802079973975196
100 0.1 495 13 0.0009276250057155266
100 0.1 495 14 0.0008850409940350801
100 0.1 495 15 0.0009073330002138391
100 0.1 495 16 0.0008983330044429749
100 0.1 495 17 0.0008595420076744631
100 0.1 495 18 0.0008367920090677217
100 0.1 495 19 0.0009064580081030726
100 0.1 495 20 0.0008541249990230426
100 0.1 495 21 0.0008712919952813536
100 0.1 495 22 0.0008595840045018122
100 0.1 495 23 0.0008413330069743097
100 0.1 495 24 0.0009025830077007413
100 0.1 495 25 0.0009380000119563192
100 0.1 495 26 0.0009152910060947761
100 0.1 495 27 0.0008899999957066029
100 0.1 495 28 0.0008614999969722703
100 0.1 495 29 0.0009282090031774715
100 0.1 495 30 0.0008975829987321049
100 0.2 990 1 0.0014647080097347498
100 0.2 990 2 0.0014185829932102934
100 0.2 990 3 0.0014162090083118528
100 0.2 990 4 0.001429791998816654
100 0.2 990 5 0.0014151250070426613
100 0.2 990 6 0.001444916008040309
100 0.2 990 7 0.001429582989658229
100 0.2 990 8 0.0014562919968739152
100 0.2 990 9 0.001421749999281019
100 0.2 990 10 0.001519625002401881
100 0.2 990 11 0.0014893339975969866
100 0.2 990 12 0.0015626249951310456
100 0.2 990 13 0.0015093750116648152
100 0.2 990 14 0.001445375004550442
100 0.2 990 15 0.0014508329913951457
100 0.2 990 16 0.0014327079989016056
100 0.2 990 17 0.0013976670015836135
100 0.2 990 18 0.001516582997282967
100 0.2 990 19 0.001477915997384116
100 0.2 990 20 0.0015328330046031624
100 0.2 990 21 0.001462875006836839
100 0.2 990 22 0.001563291996717453
100 0.2 990 23 0.001414166996255517
100 0.2 990 24 0.0014307500096037984
100 0.2 990 25 0.0015100839955266565
100 0.2 990 26 0.0014439579972531646
100 0.2 990 27 0.0014762920036446303
100 0.2 990 28 0.0014539580006385222
100 0.2 990 29 0.0014623339957324788
100 0.2 990 30 0.0014896250067977235
100 0.3 1485 1 0.0020303329947637394
100 0.3 1485 2 0.0019618340011220425
100 0.3 1485 3 0.0020264170016162097
100 0.3 1485 4 0.0019804579933406785
100 0.3 1485 5 0.001969874996575527
100 0.3 1485 6 0.001999333006097004
100 0.3 1485 7 0.0019968749984400347
100 0.3 1485 8 0.002019417006522417
100 0.3 1485 9 0.0020755000005010515
100 0.3 1485 10 0.0020995000086259097
100 0.3 1485 11 0.0019509999983711168
100 0.3 1485 12 0.001962250011274591
100 0.3 1485 13 0.0020402500085765496
100 0.3 1485 14 0.001974667000467889
100 0.3 1485 15 0.002000083011807874
100 0.3 1485 16 0.0019857919978676364
100 0.3 1485 17 0.0019876659935107455
100 0.3 1485 18 0.0019832910038530827
100 0.3 1485 19 0.001981667010113597
100 0.3 1485 20 0.0019627080037025735
100 0.3 1485 21 0.001998832987737842
100 0.3 1485 22 0.0020004999969387427
100 0.3 1485 23 0.0019979999924544245
100 0.3 1485 24 0.001963999995496124
100 0.3 1485 25 0.0020141249988228083
100 0.3 1485 26 0.0019985410035587847
100 0.3 1485 27 0.0020620419963961467
100 0.3 1485 28 0.00202341700787656
100 0.3 1485 29 0.001994334001210518
100 0.3 1485 30 0.0020124160073464736
100 0.4 1980 1 0.0025546669930918142
100 0.4 1980 2 0.0025019579916261137
100 0.4 1980 3 0.0025206669961335137
100 0.4 1980 4 0.0025036669976543635
100 0.4 1980 5 0.0024854169896570966
100 0.4 1980 6 0.0024971249949885532
100 0.4 1980 7 0.002514291991246864
100 0.4 1980 8 0.0025043750065378845
100 0.4 1980 9 0.0025678329984657466
100 0.4 1980 10 0.0025498750037513673
100 0.4 1980 11 0.0025655420031398535
100 0.4 1980 12 0.002578957995865494
100 0.4 1980 13 0.002466207995894365
100 0.4 1980 14 0.0025454999995417893
100 0.4 1980 15 0.0024587090010754764
100 0.4 1980 16 0.0024758749932516366
100 0.4 1980 17 0.002483542004483752
100 0.4 1980 18 0.0025550830032443628
100 0.4 1980 19 0.002492709012585692
100 0.4 1980 20 0.002517291999538429
100 0.4 1980 21 0.0025480839976808056
100 0.4 1980 22 0.002525957999750972
100 0.4 1980 23 0.0025674579956103116
100 0.4 1980 24 0.0025125840038526803
100 0.4 1980 25 0.002556125007686205
100 0.4 1980 26 0.002574416997958906
100 0.4 1980 27 0.0025097920006373897
100 0.4 1980 28 0.002531500009354204
100 0.4 1980 29 0.0025369579961989075
100 0.4 1980 30 0.002530582991312258
100 0.5 2475 1 0.003060292001464404
100 0.5 2475 2 0.003013167006429285
100 0.5 2475 3 0.0030605420033680275
100 0.5 2475 4 0.0030323749961098656
100 0.5 2475 5 0.003005749997100793
100 0.5 2475 6 0.003079875008552335
100 0.5 2475 7 0.003117167012533173
100 0.5 2475 8 0.0031387920025736094
100 0.5 2475 9 0.0030382919940166175
100 0.5 2475 10 0.002999250005814247
100 0.5 2475 11 0.0030792499892413616
100 0.5 2475 12 0.00336625000636559
100 0.5 2475 13 0.0029756250005448237
100 0.5 2475 14 0.0030947089981054887
100 0.5 2475 15 0.0032355829898733646
100 0.5 2475 16 0.0030364169942913577
100 0.5 2475 17 0.0030552079988410696
100 0.5 2475 18 0.003067666999413632
100 0.5 2475 19 0.0030992499960120767
100 0.5 2475 20 0.003148957999655977
100 0.5 2475 21 0.003016417002072558
100 0.5 2475 22 0.003025291007361375
100 0.5 2475 23 0.003018083007191308
100 0.5 2475 24 0.0030161250033415854
100 0.5 2475 25 0.002990374996443279
100 0.5 2475 26 0.0030203750065993518
100 0.5 2475 27 0.0030446659948211163
100 0.5 2475 28 0.0030044169980101287
100 0.5 2475 29 0.0031148330017458647
100 0.5 2475 30 0.0030864579894114286
100 0.6 2970 1 0.003740749991266057
100 0.6 2970 2 0.003463166009169072
100 0.6 2970 3 0.003533499999321066
100 0.6 2970 4 0.0035106249997625127
100 0.6 2970 5 0.003486708999844268
100 0.6 2970 6 0.003518666999298148
100 0.6 2970 7 0.003478708997135982
100 0.6 2970 8 0.0035059159999946132
100 0.6 2970 9 0.0036808329896302894
100 0.6 2970 10 0.0037185830005910248
100 0.6 2970 11 0.0036126670020166785
100 0.6 2970 12 0.0036705420061480254
100 0.6 2970 13 0.0034712909982772544
100 0.6 2970 14 0.0035871250001946464
100 0.6 2970 15 0.0034882080071838573
100 0.6 2970 16 0.003628917009336874
100 0.6 2970 17 0.0034995839960174635
100 0.6 2970 18 0.0035012089938391
100 0.6 2970 19 0.003519249992677942
100 0.6 2970 20 0.003589665997424163
100 0.6 2970 21 0.003609708001022227
100 0.6 2970 22 0.0035300000017741695
100 0.6 2970 23 0.0035062079987255856
100 0.6 2970 24 0.003538084012689069
100 0.6 2970 25 0.003542040998581797
100 0.6 2970 26 0.003636375011410564
100 0.6 2970 27 0.003520375001244247
100 0.6 2970 28 0.003536999996867962
100 0.6 2970 29 0.0035259580035926774
100 0.6 2970 30 0.0035591250052675605
100 0.7 3465 1 0.003961207999964245
100 0.7 3465 2 0.004047958005685359
100 0.7 3465 3 0.003991749996202998
100 0.7 3465 4 0.003979083005106077
100 0.7 3465 5 0.003985500006820075
100 0.7 3465 6 0.003987291987868957
100 0.7 3465 7 0.00393091699515935
100 0.7 3465 8 0.003950833997805603
100 0.7 3465 9 0.00391595799010247
100 0.7 3465 10 0.003955666004912928
100 0.7 3465 11 0.004016625010990538
100 0.7 3465 12 0.003989582997746766
100 0.7 3465 13 0.003976667008828372
100 0.7 3465 14 0.003977416010457091
100 0.7 3465 15 0.003944708005292341
100 0.7 3465 16 0.003928749996703118
100 0.7 3465 17 0.004036667000036687
100 0.7 3465 18 0.004027791990665719
100 0.7 3465 19 0.0039476670062867925
100 0.7 3465 20 0.003965333002270199
100 0.7 3465 21 0.003976625012001023
100 0.7 3465 22 0.004044874993269332
100 0.7 3465 23 0.004044582994538359
100 0.7 3465 24 0.003935624990845099
100 0.7 3465 25 0.003979375003837049
100 0.7 3465 26 0.0040387499902863055
100 0.7 3465 27 0.004027624992886558
100 0.7 3465 28 0.00400775000161957
100 0.7 3465 29 0.003987833988503553
100 0.7 3465 30 0.0040347499889321625
100 0.8 3960 1 0.004602291010087356
100 0.8 3960 2 0.00450662498769816
100 0.8 3960 3 0.004490541003178805
100 0.8 3960 4 0.004596290993504226
100 0.8 3960 5 0.004509833001065999
100 0.8 3960 6 0.004390625006635673
100 0.8 3960 7 0.0044787090009776875
100 0.8 3960 8 0.0045787089911755174
100 0.8 3960 9 0.005109375008032657
100 0.8 3960 10 0.005055665998952463
100 0.8 3960 11 0.004466667000087909
100 0.8 3960 12 0.00447225000243634
100 0.8 3960 13 0.004398834003950469
100 0.8 3960 14 0.004533083003479987
100 0.8 3960 15 0.004514000000199303
100 0.8 3960 16 0.004345832989201881
100 0.8 3960 17 0.004384500003652647
100 0.8 3960 18 0.004422374986461364
100 0.8 3960 19 0.00441283400868997
100 0.8 3960 20 0.0044770829990739
100 0.8 3960 21 0.004586750001180917
100 0.8 3960 22 0.0048709999973652884
100 0.8 3960 23 0.004704042003140785
100 0.8 3960 24 0.004502582989516668
100 0.8 3960 25 0.00450999999884516
100 0.8 3960 26 0.00455541699193418
100 0.8 3960 27 0.00451187499857042
100 0.8 3960 28 0.004547541990177706
100 0.8 3960 29 0.004443750003702007
100 0.8 3960 30 0.004391416994621977
100 0.9 4455 1 0.004956167002092116
100 0.9 4455 2 0.00541337500908412
100 0.9 4455 3 0.005434457998489961
100 0.9 4455 4 0.005167915995116346
100 0.9 4455 5 0.00498008300201036
100 0.9 4455 6 0.004963957995641977
100 0.9 4455 7 0.004960624995874241
100 0.9 4455 8 0.004884750000201166
100 0.9 4455 9 0.005043041994213127
100 0.9 4455 10 0.004829208002774976
100 0.9 4455 11 0.004880291991867125
100 0.9 4455 12 0.004852416997891851
100 0.9 4455 13 0.005008375010220334
100 0.9 4455 14 0.004843625007197261
100 0.9 4455 15 0.0048260829935316
100 0.9 4455 16 0.004814291998627596
100 0.9 4455 17 0.004830165999010205
100 0.9 4455 18 0.00482329199439846
100 0.9 4455 19 0.004839665998588316
100 0.9 4455 20 0.004807874996913597
100 0.9 4455 21 0.00482329199439846
100 0.9 4455 22 0.004827166994800791
100 0.9 4455 23 0.004778582995641045
100 0.9 4455 24 0.0048390000010840595
100 0.9 4455 25 0.004861207999056205
100 0.9 4455 26 0.004816791988559999
100 0.9 4455 27 0.004913832992315292
100 0.9 4455 28 0.005072832995210774
100 0.9 4455 29 0.004859124994254671
100 0.9 4455 30 0.004907249996904284
100 1.0 4950 1 0.005358291993616149
100 1.0 4950 2 0.005343125012586825
100 1.0 4950 3 0.00537149999581743
100 1.0 4950 4 0.005291209003189579
100 1.0 4950 5 0.005301541998051107
100 1.0 4950 6 0.005312707988196053
100 1.0 4950 7 0.005225375003647059
100 1.0 4950 8 0.005294208007398993
100 1.0 4950 9 0.005565250001382083
100 1.0 4950 10 0.005280291006783955
100 1.0 4950 11 0.005239292004262097
100 1.0 4950 12 0.0053629159956471995
100 1.0 4950 13 0.005448666997835971
100 1.0 4950 14 0.005340458999853581
100 1.0 4950 15 0.005263790997560136
100 1.0 4950 16 0.005328625004040077
100 1.0 4950 17 0.0053052500006742775
100 1.0 4950 18 0.005763333989307284
100 1.0 4950 19 0.00544833300227765
100 1.0 4950 20 0.005405457995948382
100 1.0 4950 21 0.005357708010706119
100 1.0 4950 22 0.005288500004098751
100 1.0 4950 23 0.005379374997573905
100 1.0 4950 24 0.005429124998045154
100 1.0 4950 25 0.005280958997900598
100 1.0 4950 26 0.005455124992295168
100 1.0 4950 27 0.005274459006614052
100 1.0 4950 28 0.005334417000995018
100 1.0 4950 29 0.005421458001364954
100 1.0 4950 30 0.0053985829872544855
200 0.1 1990 1 0.0031871250102994964
200 0.1 1990 2 0.003115500003332272
200 0.1 1990 3 0.0032041249942267314
200 0.1 1990 4 0.0032462500093970448
200 0.1 1990 5 0.003154124991851859
200 0.1 1990 6 0.003236375006963499
200 0.1 1990 7 0.0032568330061621964
200 0.1 1990 8 0.003126166993752122
200 0.1 1990 9 0.0030887500033713877
200 0.1 1990 10 0.0031104999943636358
200 0.1 1990 11 0.0030828339949948713
200 0.1 1990 12 0.003110374993411824
200 0.1 1990 13 0.0031302919960580766
200 0.1 1990 14 0.0031405420013470575
200 0.1 1990 15 0.0031390000076498836
200 0.1 1990 16 0.003081750008277595
200 0.1 1990 17 0.003115874991635792
200 0.1 1990 18 0.0030903750011930242
200 0.1 1990 19 0.0031561249925289303
200 0.1 1990 20 0.0031035840074764565
200 0.1 1990 21 0.0031437500001629815
200 0.1 1990 22 0.0031120830099098384
200 0.1 1990 23 0.0030456250096904114
200 0.1 1990 24 0.0031380000000353903
200 0.1 1990 25 0.0031215420021908358
200 0.1 1990 26 0.0030689159902976826
200 0.1 1990 27 0.0031748749897815287
200 0.1 1990 28 0.003368958001374267
200 0.1 1990 29 0.0034105829981854185
200 0.1 1990 30 0.0033462499995948747
200 0.2 3980 1 0.005602833000011742
200 0.2 3980 2 0.005737583996960893
200 0.2 3980 3 0.005676582994055934
200 0.2 3980 4 0.005752750003011897
200 0.2 3980 5 0.0056832920090528205
200 0.2 3980 6 0.005863750004209578
200 0.2 3980 7 0.005603333003818989
200 0.2 3980 8 0.0055987499945331365
200 0.2 3980 9 0.005616417009150609
200 0.2 3980 10 0.005623042001388967
200 0.2 3980 11 0.005728667005314492
200 0.2 3980 12 0.005537540986551903
200 0.2 3980 13 0.005576541996560991
200 0.2 3980 14 0.00565095899219159
200 0.2 3980 15 0.005658666996168904
200 0.2 3980 16 0.00557637499878183
200 0.2 3980 17 0.0056172499898821115
200 0.2 3980 18 0.005557208001846448
200 0.2 3980 19 0.0056979159999173135
200 0.2 3980 20 0.005585334001807496
200 0.2 3980 21 0.005554000003030524
200 0.2 3980 22 0.005551458991249092
200 0.2 3980 23 0.005586291998042725
200 0.2 3980 24 0.005615292000584304
200 0.2 3980 25 0.005637417008983903
200 0.2 3980 26 0.00566591699316632
200 0.2 3980 27 0.005733333004172891
200 0.2 3980 28 0.005855750001501292
200 0.2 3980 29 0.0057772090076468885
200 0.2 3980 30 0.005610375010292046
200 0.3 5970 1 0.007919875002698973
200 0.3 5970 2 0.007863999999244697
200 0.3 5970 3 0.00801287499780301
200 0.3 5970 4 0.008218749993829988
200 0.3 5970 5 0.008009625002159737
200 0.3 5970 6 0.007876749994466081
200 0.3 5970 7 0.007971500002895482
200 0.3 5970 8 0.007949999999254942
200 0.3 5970 9 0.008099625003524125
